序号,电影名,评分,推荐语,链接
56,辩护人,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
57,教父2,9.2,优雅的孤独。,https://movie.douban.com/subject/1299131/
58,死亡诗社,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
59,狮子王,9.1,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
60,绿皮书,8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
61,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
62,饮食男女,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
63,美丽心灵,9.1,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
64,本杰明·巴顿奇事,9.0,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
65,窃听风暴,9.2,别样人生。,https://movie.douban.com/subject/1900841/
66,情书,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
67,穿条纹睡衣的男孩,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
68,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
69,西西里的美丽传说,8.9,美丽无罪。,https://movie.douban.com/subject/1292402/
70,看不见的客人,8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
71,拯救大兵瑞恩,9.1,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
72,音乐之声,9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
73,飞越疯人院,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
74,小鞋子,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
75,阿凡达,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
76,哈利·波特与死亡圣器(下),8.9,10年的完美句点。,https://movie.douban.com/subject/3011235/
77,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
78,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
79,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
80,禁闭岛,8.8,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
81,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
82,美国往事,9.2,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
83,蝴蝶效应,8.8,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
84,心灵捕手,8.9,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
85,低俗小说,8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/
86,春光乍泄,9.0,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
87,摩登时代,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
88,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
89,喜剧之王,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/
90,致命ID,8.8,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
91,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
92,功夫,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
93,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
94,加勒比海盗,8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
95,哈利·波特与阿兹卡班的囚徒,8.9,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
96,超脱,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
97,红辣椒,9.0,梦的勾结。,https://movie.douban.com/subject/1865703/
98,狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
99,请以你的名字呼唤我,8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
100,7号房的礼物,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
