用户名,评论时间,评论内容
yundfq,2021.8.18 15:08,都是大灰狼
shenqing,2021.8.19 10:08,到此一游，到此一游
py0wzf,2021.8.19 17:08,我要出现在你们的学习中，O(∩_∩)O哈哈~
wyxcn,2021.8.20 14:08,想被自己爬到
JapeZhuo,2021.8.22 19:08,爬虫
zlj018029,2021.8.23 19:08,签到
weikang,2021.8.23 19:08,k~ Pa
Matcha,2021.8.24 15:08,来爬我爬我
python123,2021.8.24 15:08,爬虫进阶，一起来点评。
YuesFFF,2021.8.24 17:08,增加爬评论的数量从每一个爬过的人做起
Abulii,2021.8.26 01:08,怎么样能不爬到各位的回复评论有无大神指点一下
cotyane,2021.8.26 09:08,也评论一下
nekooh,2021.8.26 11:08,我就是试试可不可以！（添瓦加砖
cheain,2021.8.27 15:08,我来自己爬自己的评论了，哈哈
thebluesky,2021.8.27 16:08,记录下自己在爬虫学习过程中的小脚印
WWWJ1834,2021.8.27 17:08,看看能不能找到自己，看完乌合之众不做乌合之众。爬虫耶
123_321,2021.8.28 13:08,안녕하세요?
Tonytwo,2021.8.29 13:08,留痕+1
mmmmM,2021.8.30 17:08,爬来了来了
izzie,2021.8.30 21:08,我也来试试
tntyyds,2021.8.31 15:08,哈哈，学习爬虫ing
shanguang111,2021.8.31 20:08,热可可给爷冲
jinshanshan,2021.8.31 22:08,二营长，去，把老子的意大利炮爬出来！！！
Jasmine_888,2021.9.2 14:09,留下一推脚印
future,2021.9.2 16:09,hiahiahiahia
dongxinxin,2021.9.2 21:09,到此一游~
liuwei0538,2021.9.3 15:09,sfs
liuwei0538,2021.9.3 15:09,jl
wo1v10,2021.9.6 10:09,学习
oscar036,2021.9.6 22:09,最爱酱酱老师了，最喜欢酱酱老师，就是因为酱酱老师入坑了
pythoner,2021.9.7 15:09,记录下哈~当是学习pytnon中一个小小的足迹 💪
332947952,2021.9.7 16:09,11
wdaddas,2021.9.7 20:09,少年爬啊爬，潇洒轻狂入知识流。
xuanjiaqi,2021.9.8 08:09,你好
foxrunmall,2021.9.9 19:09,《尚气》真的超级好看，一定要去看！
sunyl,2021.9.10 09:09,papapa
xlxbacy,2021.9.10 14:09,hhh
Sir_li,2021.9.11 10:09,书名诚不我欺，乌合之众哈哈哈草，一群小爬虫
Sir_li,2021.9.11 15:09,"我\n,\t,\r,是\n,\t,\r,来\n,\t,\r,捣\n,\t,\r,乱\n,\t,\r,的\n,\t,\r,（狗头）\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,啊\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,哈\n,\t,\r,"
daypaopaoyuer,2021.9.12 15:09,大家学的都好快，我才刚上这节课，留个脚印。
hhhhhx,2021.9.12 20:09,这个书真的不错哎，楼主能回复我吗
zhujiaodidi,2021.9.12 22:09,ollie loves mia papa
swwbh,2021.9.12 22:09,芜湖，起飞！！！！
w3691288,2021.9.13 15:09,爬
Hakuna,2021.9.13 23:09,"Haha, 我也来体验下"
leona12,2021.9.14 09:09,我也来一条
shijinhong,2021.9.15 07:09,嗯？
xie_you,2021.9.16 22:09,XX到此一游
amanda2021,2021.9.17 15:09,晕晕乎乎的
xguikms,2021.9.18 10:09,e
xueshan,2021.9.18 15:09,学习爬虫，到此一游~
fuzihao,2021.9.20 11:09,ok
sf921,2021.9.20 13:09,到此 一爬，楼下的加油！！！
xiaozhangjiayou,2021.9.20 15:09,打卡
159253,2021.9.22 09:09,热可可加油，哈哈哈哈哈哈哈，我爬我自己，真是厉害死我了
caoyalong0921,2021.9.22 19:09,这么多叫我怎么爬
djia1103,2021.9.22 20:09,继续爬爬爬
wjwjwj,2021.9.24 17:09,我终于看到了你啊~~~~
StarLee,2021.9.25 11:09,小白爬爬路过，哈哈哈
wumingshi19910519,2021.9.25 15:09,大家都上的同一堂课。。。
binbin,2021.9.28 00:09,希望能爬到我自己，爬虫巢！！爬爬爬！！！
qtlsz,2021.9.28 05:09,我是qtl，我是sz，我要爬我自己
Susie,2021.9.28 11:09,我看看能不能爬到自己的评论😂
Latte,2021.9.29 19:09,给我爬
chuenlik,2021.10.1 03:10,2021年到此一遊 一起學爬蟲～
vb123456,2021.10.1 15:10,到此一游
abc123,2021.10.3 22:10,killing eve 看着很爽，但是价值观我还是不能认同，演员是真的都很优秀！
zzp_zzp,2021.10.5 11:10,爷到此一游
Prettyemily,2021.10.5 18:10,爬虫学习者到此一游
fan123,2021.10.5 20:10,希望我能成功爬取
yibow,2021.10.6 20:10,留爪
ting88,2021.10.8 10:10,没看过这本书，只是爬虫学习。好像也不该评论。。
yiming,2021.10.9 16:10,热可可同学好优秀
Ann_wis,2021.10.11 15:10,大家好，我叫Parterman虫，中文名叫爬得慢。
binbin,2021.10.12 20:10,来了。
windtalker,2021.10.12 21:10,good
temp111,2021.10.15 17:10,这课程有没感觉有点不值的？大量的重复内容
axxxxl2,2021.10.18 22:10,2021/10/18 天下第一爬虫！到此一游(狗头)
ltz001,2021.10.19 09:10,这本书的热度不是因为这本书本身
abc123,2021.10.23 21:10,打扰了，爬爬爬到此一游
jtzhshu,2021.10.24 16:10,现在学到第八节了，来发评论，
whisperfengzi,2021.10.24 22:10,来啦！要在爬虫的道路越走越远，各位爬友一起加油~
PPPPP,2021.10.24 22:10,我来也
yangyk,2021.10.25 20:10,确认了眼神，都是来爬虫的人……
python2021,2021.10.26 20:10,爬虫+10086
sdqzliuxl,2021.10.26 21:10,我是第196条评论，爬到我说明你代码运行成功了！
abc123,2021.10.29 14:10,“qwe”
123sjz-_,2021.10.29 17:10,最新评论
zhang12590,2021.10.29 20:10,jjj
sheng,2021.10.30 17:10,爬虫留名！  Y8的同学，你们好！
pota_bean,2021.10.31 20:10,66666666，我来了
lead233,2021.11.2 09:11,来了来了
neil0704,2021.11.2 18:11,爬爬爬起来呀
wujiasanjie,2021.11.4 15:11,新爬虫签到！！！
py20211014,2021.11.4 17:11,这么多评论啊
yanjiangff,2021.11.5 09:11,哈哈哈哈哈还以为是真的可以读书的网站，原来是学爬虫的……
wdf123456,2021.11.5 15:11,我看看我这个小虫在这回复一下能不能看到自已
lailai2000,2021.11.9 16:11,爬虫来也！
Gqepdc123,2021.11.9 17:11,我刷我刷 我刷刷刷！！刷屏
bulinbulin,2021.11.10 22:11,我是bulinbulin
James,2021.11.10 23:11,珀丽湾的小伙伴双十一来学一发爬虫
ysq201616,2021.11.12 21:11,我
ganxin123,2021.11.14 00:11,forchange爬虫到此一游
1_-mm,2021.11.14 11:11,加油噻！
silveryangel,2021.11.14 13:11,蹲楼等爬
gui123456,2021.11.14 13:11,哈哈哈哈
z9955,2021.11.14 16:11,A reptile comes here.
1919501974,2021.11.14 21:11,爬虫来的
RC_127,2021.11.14 23:11,Y
guyevip,2021.11.15 14:11,真有人买书吗
zhaohua,2021.11.15 21:11,哇好热闹啊这里哈哈哈哈哈哈哈哈哈
Sirius,2021.11.16 16:11,到此一游
resvolt,2021.11.17 14:11,把自己写进教科书中
evaChu,2021.11.19 09:11,光是看评论 就非常想看看这本书啦
binbin,2021.11.19 11:11,哈哈，果然，大家都是来学爬虫的，不过这本书也确实不错啊，可惜一般人看不动
sgds_pc,2021.11.20 21:11,小叶子也来了，向泽羿也在吗
abddddd,2021.11.20 22:11,hhh
roeys,2021.11.22 19:11,…
happykittenhouse,2021.11.26 10:11,miao
ZDY_nd,2021.11.26 17:11,"爬到自己
，学的晚了点，就被这些爬虫整不会了"
g023456789,2021.11.29 20:11,新手爬虫到此一游
liuyuxi,2021.11.30 21:11,新进小白
admin_python,2021.12.1 12:12,哈哈，不需此行，我再加一条评论。
admin_python,2021.12.1 12:12,哈哈，看到你们的评论，我就知道风变宣传有多厉害orz。
sunnylina,2021.12.1 16:12,爬一爬，爬两爬，第三次爬，到底有没有留痕迹！
RNG4ever,2021.12.2 21:12,RNGForEver！！！！！
123456QAQ,2021.12.4 12:12,这本书非常好，对学Python很有用
123456QAQ,2021.12.5 03:12,来踩踩
joman201218,2021.12.5 23:12,回复mark
chastest,2021.12.6 09:12,可怜的层主hhhh
jrrfy,2021.12.6 22:12,看看
zzyzr,2021.12.7 17:12,真的假的？
13675797673,2021.12.8 08:12,加一楼
selinayao1993,2021.12.9 16:12,爬爬爬
wwficecream,2021.12.9 16:12,我看看
nacyququ,2021.12.11 16:12,一直以为是课程做的一个假网站，居然真的可以回复，来者都是爬虫客~~~
chuir13,2021.12.12 10:12,爬虫yyds
aidongmei,2021.12.12 15:12,ADM爬虫学习，耶耶耶
nacyququ,2021.12.13 22:12,推荐《孤勇者》歌曲，非常好听。安利一下时间记录
shanger,2021.12.14 20:12,我也评论试试！来自承德。
jackee,2021.12.16 00:12,中学为本，西学为用
jacklil,2021.12.16 21:12,一群乌合之众来爬虫罢了
mugua,2021.12.19 16:12,6666666666666666666
Aurora,2021.12.21 09:12,最近吃瓜大明星塌房事件，看到微博中有个作家微博提到过这本书，就迅速来了。哈哈^_^
HAKER,2021.12.23 15:12,各位我想前排
liyi_,2021.12.24 11:12,写的真好，下次不许在写了。
lirun,2021.12.24 22:12,"Hello,
I’m Li Run, 7 years old, now study Python in Forchange."
godofphoenix,2021.12.25 16:12,哇 竟然真的有
13505174942,2021.12.25 16:12,我也加一条评论，验证一下是否可以搜索到！
13390460938,2021.12.26 00:12,你们这样评论内容不是十条了
EWREWWE,2021.12.26 17:12,留个名，代表我曾来过，哈哈
For_kenner,2021.12.27 11:12,写得好
ABCDEFG11,2021.12.27 16:12,孙猴子到此一游
mickey,2021.12.27 21:12,哈哈，希望能看到自己
twinstarq,2021.12.30 19:12,payapa
123456QAQ,2021.12.30 20:12,好家伙
cuishuangyan,2021.12.30 21:12,哦豁  来评论了
lllggy,2022.1.1 10:01,2022年1月1日，新年的第一次爬虫，哈哈！
ocean8088,2022.1.2 17:01,万丈高楼平地起，不不不，爬虫新手来堆砌，哈哈……
qidiaoyue,2022.1.2 19:01,新手爬虫报道+1
songs,2022.1.3 16:01,爬虫
adgsqwj,2022.1.4 21:01,爬
小小花,2022.1.5 16:01,1234568999
kissfhw,2022.1.7 15:01,此楼太欢乐啦！我也要爬~ 打卡，滴~~~
kissfhw,2022.1.7 15:01,此楼太欢乐啦！我也要爬~ 打卡，滴~~~
记夕忆沧澜,2022.1.7 15:01,data-commentid=192
记夕忆沧澜,2022.1.7 15:01,"yes, i argee with you."
记夕忆沧澜,2022.1.7 15:01,comment_parent: “192”
momojunsa,2022.1.8 09:01,看看能不能爬到自己
sskkkky,2022.1.9 17:01,我也来，爬我这条哈哈
dangaobaba,2022.1.10 12:01,必须来爬一下
jjdhxyys,2022.1.11 14:01,属实让你们玩明白了
abc123,2022.1.11 19:01,一楼这样，这爬到满屏一楼啊都是
oliverttao,2022.1.11 22:01,答案已经发生变化了
123456QAQ,2022.1.11 23:01,好玩
lqy123,2022.1.12 11:01,这么多评论
xgqxzm,2022.1.12 23:01,都是学爬虫的吗？哈哈
a1104175048,2022.1.13 09:01,评论的人能不能想到自己的评论被反反复复爬爬爬呢
they22,2022.1.13 11:01,这个网页就是课程方做出来给大家爬的呀…………
YYC565,2022.1.17 00:01,yyc到此一游，风变学员2022年1月17日留念
ohana,2022.1.18 23:01,嘿嘿，我也到此一爬
mj900763,2022.1.27 14:01,hxfhxf
slenderlady123,2022.2.6 17:02,我是评论，哈哈
mjyaxp,2022.2.8 15:02,试试评论看怎么个原理实现的
tttjs,2022.2.9 14:02,在座各位大多都是一个目的
WSGSQ,2022.2.10 13:02,哈哈
yuanruoyu0402,2022.2.10 22:02,来都来了，留个jio印先
2764232752,2022.2.11 13:02,靓仔到此一游，2022.2.11 13：30 我爬
Naive-ghost,2022.2.11 14:02,到这来的目的感觉不纯呀！！！
xiaoxiao05,2022.2.13 14:02,哈哈哈哈哈哈爬爬留个言
hanchaolon,2022.2.15 10:02,学爬虫的人真不少啊~~ 看评论都是学爬虫的
liyan123,2022.2.15 11:02,到此一游哈哈哈
sglwt,2022.2.15 15:02,心理学家，爬虫
Leoqi,2022.2.15 21:02,这评论好长啊，往下划拉了半天才看到下一个。
lh690719,2022.2.17 15:02,爬呀爬
coroch,2022.2.17 16:02,爬虫虫到此一游
Theresa123,2022.2.18 12:02,我来试试看
Franly,2022.2.19 15:02,看来这里是爬虫的天下 笑死我了 哈哈哈哈哈哈哈哈哈哈
hyhyhy,2022.2.20 23:02,1
chenjie,2022.2.21 15:02,爬虫+1
axulz,2022.2.21 21:02,能回复吗？
Lori-jcbfq2031,2022.2.24 09:02,我也来爬虫啦，有没有做爬虫工作的伙伴呢，想咨询一下哈哈哈，VX就是账号
ss33l,2022.2.26 16:02,hhhh我怀疑这个网站就是爬虫那家弄的
weiyu396,2022.2.27 13:02,好饿啊，爬完去吃饭o（///^///)p
chenwh,2022.2.28 01:02,第345，人类的本质是复读机。
xiekun1114,2022.3.1 03:03,能回复么？？
xiekun1114,2022.3.1 03:03,啦啦啦啦啦。。。回复第一条！！
xiekun1114,2022.3.1 03:03,这是尝试用本地Vscode做的回复！！
kiisu,2022.3.1 12:03,保持热搜
Puddinimida,2022.3.1 23:03,第352号小爬虫前来报到！
bbsbbs2008,2022.3.3 08:03,本大爷到此一游，你能找到我是谁算你有本事。悲催的上班族，晚上上9点多，根本没时间学习，只能早上6点多爬起来学习。有时早上4点就要爬起来学。。。。
ardfh,2022.3.3 16:03,前有爬虫，请见谅
daydayup,2022.3.3 20:03,爬
supermk89,2022.3.4 11:03,爬前留名
kangmu,2022.3.6 09:03,mark!
pyuser0027,2022.3.6 10:03,py考古学新秀，到此一挖
a_pany,2022.3.6 15:03,有人真的是来看书的吗？反正我不是，哈哈
hellodsh,2022.3.7 11:03,"真的能回复耶,爬啊爬"
QQ456852,2022.3.7 22:03,因学习爬虫，到此联系，爬取目标：此次热可可:favor:
Rocky_2020,2022.3.8 10:03,po
chenxuan500,2022.3.9 10:03,雁过留声，人过留名。热可可同学加油。2023年再来爬这条评论会不会把风变的服务器撑爆？哈哈哈哈
RACHEL_Z,2022.3.9 14:03,来爬的， 总得留个虫迹。
millie,2022.3.9 16:03,学爬虫啦
dipeaker,2022.3.9 19:03,爬虫作业。
sgpkfbbc,2022.3.10 19:03,啊，我也出现在你世界啦
JackVanHelsing,2022.3.11 03:03,"·
                                                                             ·                                                                           ·
                                                                             ·
····················································2022/03/11杰克君到此一爬················································
                                                                             ·
                                                                             ·
                                                                             ·
                                                                             ·"
aiye0921,2022.3.11 16:03,学习之前测试一下
caicia11925,2022.3.11 19:03,看看自己的评论能不能爬到
1021709712,2022.3.13 10:03,我来爬自己的评论，哈哈哈
binbin,2022.3.13 21:03,"1234567,一二三四五六七"
ZHOUyy,2022.3.14 20:03,来咯！！
zhouly,2022.3.14 22:03,375
binbin,2022.3.15 17:03,enheng?
shizh2021,2022.3.16 22:03,我要看看是不是只能在这里的才能被爬到？
shizh2021,2022.3.16 22:03,终于爬到了自己，我shizh到此就是为了此刻，让你们都爬到我的消息，哈哈哈哈哈哈哈
ling-,2022.3.19 18:03,我也来
xbdpeter,2022.3.20 11:03,富贵不知乐业，贫穷难耐凄凉
piaoyv44,2022.3.21 10:03,爬虫萌新报到
youshou,2022.3.23 13:03,留个印记哈哈哈
82184921,2022.3.25 17:03,真正的执念是无法伪造的
vinity,2022.3.27 09:03,我们一起来爬虫，一起虫虫虫虫虫
shanguang_-1850916661,2022.3.28 12:03,一只可爱的瞪蛛爬过~
lmgjx123,2022.3.28 15:03,爬爬好多啊
FVerseau,2022.3.29 12:03,我爬我自己！
hawai,2022.3.29 15:03,做个记号证明来过
wangshuang,2022.3.29 20:03,go go go !!!
Roylina,2022.3.30 11:03,哈哈哈哈俺也来啦！！
041419102,2022.3.30 16:03,到此一游，爬虫学习留念
13993228720,2022.3.30 22:03,牛的
nanjue,2022.3.31 09:03,很好
Theresa123,2022.4.2 14:04,哇 真的可以耶
zhangfeiju,2022.4.2 20:04,hahaha，爬取成功
2105010423,2022.4.2 22:04,按爪
fqy5179,2022.4.3 08:04,爬取乌合之众的评论
999999,2022.4.4 15:04,这么多评论这不爬半天
13332850258,2022.4.6 14:04,啊啊啊
huangmeiling,2022.4.6 17:04,爬虫爬虫，希望能爬到money，哈哈哈
kiwisj,2022.4.7 19:04,猕猴桃来也
flewice,2022.4.11 21:04,终于能找到这一页了，哈哈哈，我要爬取自己的评论
Tobefree1,2022.4.12 10:04,都是来爬的？就没有正经看书的吗？
Lane201903,2022.4.12 16:04,已经没法查找comment-txt了，真调皮.
chyyy,2022.4.14 18:04,好家伙，都是来打卡的吧
jackyhe,2022.4.14 20:04,这人啊，为了达到某种目的，真是削尖脑袋啊 （（（（-  ：-））））
longruoxi_,2022.4.16 01:04,熠熠生辉
favor,2020.9.17 11:09,花了大概两周的时间读完了这本书。我始终坚持开卷有益。《乌合之众》，从初读时的惊心动魄，到合上书时的冷静。保持独立思考，不论何时何地，如此重要。这就算是这本书带给我的最大收获。
mapleghost,2021.6.11 14:06,我也想被大家爬爬看(*/ω＼*)
angershelia,2021.6.22 08:06,我觉得回复在2楼可能被爬取到，一会我看看
human_dying,2021.6.26 16:06,爬，爬，爬，我爬
qiuweihg,2021.7.6 17:07,aiyo
crawler_ghost,2021.7.13 20:07,哇塞！开发团真的好用心！努力学习努力学习！
dz,2021.7.29 09:07,网络爬虫
Alvar33,2021.7.29 16:07,なるほど
12433,2021.8.2 12:08,啊这，工作量剧增啊喂！
celia911,2021.8.18 15:08,第一次评论不是为了评论，大家懂的
kui211,2021.8.24 15:08,大家爬虫加油呀
kui211,2021.8.25 09:08,好像默默被淹没了
djia1103,2021.9.22 20:09,笑死  我也爬
hide-on-bush,2021.9.24 11:09,666
admin00005,2021.10.16 16:10,爬我爬我！
yangjundiai,2021.11.9 14:11,有幸学习爬虫课程，我是一个淘宝店主，我的店铺地址是：https://75597.taobao.com/search.htm?spm=a1z10.1-c.0.0.438a23e4hInkBa&search=y，希望看到的同学们有机会来多多支持！
evaChu,2021.11.19 09:11,赞 始终保持自己的独立思维 才是一个独立的个体啊
yxMavis,2021.11.22 17:11,我爬我自己
q1w2e3r4t5y6,2021.11.27 09:11,hhh  爬到自己
wolaipapa,2021.12.23 13:12,我还有机会吗
yexianli,2021.12.30 21:12,差点儿找不到你了😂
xiaoguozi,2022.1.24 00:01,"favor,差点都找不到你了favor"
kattz_-8411,2022.2.16 20:02,来爬我啊~
xiekun1114,2022.3.1 03:03,继续回复一句！
pyuser0027,2022.3.6 12:03,py考古学新秀，到此一挖（目前练习还看不到自己的评论）
xubin233,2022.4.12 22:04,兴趣来了
猜猜猜,2020.9.17 11:09,我们总是生活在群体之中，本书提醒我们跳出群体之外，冷静的观察我们所处的群体，冷静的分析群体中的领袖，若“领袖”的动员手段，只是“断言、重复、传染”，那我们可能就要逃离这样的群体，这样的群体可能就会有野蛮的特性。读完这本《乌合之众》，我更清晰的理解潮流、谣言及恐慌。
shoes86,2021.7.7 10:07,这层还没人，谁来爬我~~~
jackiejenny,2021.7.21 15:07,留个脚印，等待被爬
dz,2021.7.29 09:07,爬虫
soap-ok,2021.8.9 20:08,爬我
kaosi1,2021.8.21 19:08,都是来爬虫的吧
7825679yazy,2021.8.24 17:08,必须成为大部队中的一员，大家加油~
mary19372,2021.9.27 22:09,留个脚印，来爬我呀~
wangyr,2021.10.19 21:10,哈哈，都是爬虫的同学，
jemyc,2021.11.5 16:11,真的到此一游
橘世,2021.11.13 15:11,野蛮生长
Kuroba,2021.12.27 01:12,爬蟲，打卡。
shanguangshaonian,2022.1.12 20:01,回复一下？
xnckkr,2020.9.17 11:09,实在是一本发人深省的好书！它正如一面双刃剑，《乌合之众》能让人警醒，也能让野心家找到掌控群众的方法。它提到“只要掌握了影响群众想象力的艺术，也就掌握了统治他们的艺术。”书中谈到如何让群众接受自己观念，”改造，改造的方向必须是低俗化和简单化。”
wwyyyy,2021.7.23 17:07,2w4y (给爷【爬】)
qaz159189,2021.7.23 22:07,加我一个
13432686851,2021.12.8 19:12,我也是来爬的
mickey,2021.12.27 21:12,一定要被看见。。。。。。。。。。。。。。。。。。。。。
kilun_hu,2022.2.15 14:02,为检验爬虫成效，查看此书，写下评语。希望自己能够看到。2022-2-15
xnxoekel,2020.9.17 11:09,读完此书，有些作者的观点我不是很赞同。不同的群体会有不同的特性，把群体统称为乌合之众，显得简单粗暴。书中列举的各种例子，只选取符合书中描写群体特性的历史事件，更多不符合特性的历史事件就未被提及。尽管书中的观点显得偏颇，但依然是值得认真读的一本书，其中很多观点更是为我们敲响警钟。
fromfengbian,2021.8.2 11:08,mark，等会来爬
yjzxj,2021.9.6 16:09,挺有趣
l13772457288,2021.9.18 23:09,等爬~~~
foxaka,2022.3.9 23:03,test
车车,2020.9.17 11:09,本书语言简单通俗直接，一路读下来的感受，可以用惊心动魄来形容，看着书上总结的群体特性，联想着现代中国发生的红卫兵破“四旧”、以及文革中的种种恶行，还有近期新闻中的各种群体事件：例如砸“日系”车辆、各种传销组织等。对于勒庞的总结，我内心是频频点头。几乎认同群体就是野蛮的原始人。
Emilyoutofctrl,2021.8.4 17:08,码上爬XD
zkluckj,2021.8.23 21:08,爬到自己有惊喜！
limei,2021.9.22 22:09,细思极恐，读过此书，深以为然。。。
cncikrlr,2020.9.17 10:09,《乌合之众》是法国社会学家古斯塔夫.勒庞，于1895年首次出版的一部研究群众心理的著作。开篇就是一个定义：许多人凑在一起，就叫群体。群体是个活的生物，有自己的感情，有自己的思想，即群体心理。接下来会有什么样精彩的内容呢？一起看看吧
blkent,2021.8.5 16:08,爬粑粑
captainayi,2021.8.28 13:08,爬前留名。。。
yfmon_110361,2022.3.25 23:03,"事实证明，无论留在那层楼，都是可以被爬到的！
Mark，必须为自己的学习留下脚印"
吹健康,2020.9.17 10:09,“群体是无名的因此也无需承担责任，然后一直控制着个体的那种责任感便消失了”，面对这样的情况我们能做些什么呢？无非是在看似主流的群体浪潮里，保持独立思考和辨别是非的能力，不做“乌合之众”中的一员。看看这本书吧！它不会让你失望的
phyllis,2021.8.17 20:08,phyllis到此一游！嘻嘻！爬起~
xiaohy,2021.9.17 09:09,哈哈，爬前留名，看看能不能爬到自己，✌
SAJ2513,2021.9.23 10:09,给我使劲吹：呼呼呼
byun_hubic,2021.10.7 17:10,嘻嘻，markmark
123456QAQ,2021.12.5 09:12,都是爬虫
xncokrkr,2020.9.17 10:09,本书作者勒庞在书中有许多令人深思的句子：当一个人成为了群体中的一员，他的意识人格就消失了，智力、判断力水平都在飞速降低，只有情绪在不断放大，表现为冲动、多变、易怒、轻信、野蛮及破坏性的特质，换句话说，也就是回归了我们动物性的本能，所有来自道德的限制在群体组织中将不复存在。实在是妙！
kkcheung,2021.8.17 20:08,是真人，还是程序？
jinshanshan,2021.8.31 22:08,二营长，把老子的意大利炮爬出来
binbin,2021.10.16 00:10,俺也到此一游
admin_python,2021.12.1 12:12,给爷爬起来，哈哈。
Sunny2022,2021.12.27 12:12,爬一爬
ydylhyds,2021.12.27 14:12,"在室友玛戈王（奇怪不知道为什么她的英文名组合后如此奇怪odd）的书借后翻阅了，感觉这句话确实非常印象深刻，像另一句格言说的一样，归属是接受真正的你，融入是因为你变得像其他人而被接受。
Belonging is being accepted for you.
Fitting in is being accepted for being like everyone else.
Brene Brown, Braving the Wilderness"
xnckem,2020.9.17 10:09,百忙之中抽空看完了《乌合之众》这本书，我不禁震撼于勒庞洞悉群众心理的细致程度以及超前性，要知道，本书的创作背景是法国的文化大革命，但书中的诸多理论，放到当下社会也绝不过时，甚至可以轻易解释一些时常发生的“荒唐”事件.发人深省
13923367122,2021.7.6 22:07,1234
wwyyyy,2021.7.23 17:07,2w4y 给爷【爬】
mzzm414,2021.8.11 20:08,有的网站，看着是读书网，实际上却是母巢~
Cannon0515,2021.8.26 16:08,点赞
lingfeng,2021.9.17 17:09,lingfeng
zhujiaodidi,2021.9.20 14:09,ccccccccccccccccccccc
Stanley,2021.10.9 12:10,爬虫只新虫路过
123456QAQ,2021.10.13 22:10,来补课了！
binbin,2021.10.15 22:10,懒爬爬虫报到！
sdqzliuxl,2021.10.26 21:10,我是第197条评论，你爬到我了么？
我是一只爬爬虫,2021.10.31 20:10,这里评论才能爬到吗？
llzzyy,2021.11.8 00:11,在此留下脚印，让大家爬
hgfds,2021.11.14 00:11,liu
cyq0175,2021.11.14 16:11,当当当当水军来了
